PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment
313,375806667,26745074,CC1=CC(=CC=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3C(=O)CC(C)(C)CC(=O)O)NC=N4,Active,47,,,Moderate,46.74,class = 0
314,375799806,71693149,CCC(CC)C(=O)NC[C@@H]1C=C([C@@H](C[C@H]1C(C)C)CC2=NC3=C(C=CC=C3N2)C)C,Active,100,,,High,>1000,class = 0
315,375800456,40777002,CCC(CC)C1=NC(=NC(=C1)[C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)C4=CC=CS4)C5=CC=NC=C5,Active,100,,,High,749.69,class = 0
316,375798497,28961069,CC1=CC(=CC=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3)NC=N4,Active,100,,,High,169.41,class = 0
317,375798652,7142438,C1CN2[C@H](CN1C(=O)COC3=CC=CC=C3)C(=O)NC4=C(C2=O)C=C(C=C4)C5=CC(=CC=C5)C(F)(F)F,Active,100,,,High,859,class = 0
318,375806391,26742366,CCC(CC)C1=NC(=NC(=C1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)CC4=CC=CS4)C5=CC=NC=C5,Active,100,,,High,319.54,class = 0
319,375803848,26745136,COC1=CC=C(C=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3C(=O)NC5CCCCC5)NC=N4,Active,58,,,Moderate,58.16,class = 0
320,375803232,26761883,CCOC(=O)C1=CC=C(C=C1)NC(=O)N2CC3=C(C[C@H]2C4=NC(=NO4)C(C)C)N=CN3,Active,16,,,Moderate,16.23,class = 0
321,375800677,45783916,CC1=C[C@H]([C@@H](C[C@H]1CC2=NN=C(O2)C3=CC=NC=C3)C(C)C)CNC(C)C,Active,41,,,Moderate,41.32,class = 0
322,377020432,49878590,CCOC(=O)N1CCN(CC1)C(=O)CN2C(=O)C3=C(S2)N=C(C=C3C)C,Active,19,,,Moderate,19.05,class = 0
323,375885383,134805851,COC1=NC=C(C=N1)C2=NNC3=C2CC(=O)N(C3)C4=CC=CC=C4,Active,43,,,Moderate,42.5,class = 0
324,375890128,134810595,C1CN(CC2=C1C(=O)N(N2CC3=CN=CC=C3)CCC4=CC=CC=C4)C(=O)C5=CC6=CC=CC=C6N5,Active,100,,,High,229,class = 0
325,375884825,134805294,CN(C)C1=CC=C(C=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Active,100,,,High,106.54,class = 0
326,375885182,134805651,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CC=CS4,Active,100,,,High,105.92,class = 0
327,375884446,134804915,COC1=NC=C(C=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Inactive,2,,,Low,2.38,class = 1
328,375885834,134806302,COC1=C(C=C(C=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4)O,Inactive,3,,,Low,3.07,class = 1
329,375886179,134806647,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CSC=C4,Active,15,,,Moderate,15.28,class = 0
330,375886492,134806960,COC1=CC=CC=C1CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Active,22,,,Moderate,22.34,class = 0
331,375887020,134807488,C1CN(CC2=CN=C(C=C2N1)NCC3=CC=C(C=C3)F)CC4=CC=NC=C4,Active,14,,,Moderate,14.31,class = 0
332,375889125,134809592,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CC(=C(C=C4)F)F,Active,100,,,High,340.2,class = 0
333,375888561,134809029,COC1=CC(=C(C=C1)OC)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Inactive,2,,,Low,2.33,class = 1
334,375886750,134807218,C1CN(CC2=CN=C(C=C2N1)NCC3=CC=CC=C3)CC4=CN=CC=C4,Active,16,,,Moderate,15.8,class = 0
335,375885513,134805981,COC1=CC=C(C=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Active,100,,,High,119,class = 0
336,375888838,134809305,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CC(=CC=C4)F,Inactive,6,,,Low,5.74,class = 1
337,375889127,134809594,COC1=CC=CC(=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Active,100,,,High,187.32,class = 0
338,375888840,134809307,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CC=CC=C4O,Active,23,,,Moderate,23.15,class = 0
339,375887878,134808346,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CC=C(C=C4)C(F)(F)F,Active,21,,,Moderate,21.11,class = 0
340,375885197,134805666,CC(C)(C)CN1CCNC2=CC(=NC=C2C1)NC3=CC=CC=C3,Active,42,,,Moderate,42.16,class = 0
341,375886531,134806999,C1=CC2=C(C(=C1)C3=CN4C=NC=C4C(=C3)C5=CC=NC=C5)NN=C2,Active,20,,,Moderate,20.29,class = 0
342,375885879,134806347,C1=CC(=C2C=CNC2=C1)C3=CN4C=NC=C4C(=C3)C5=CC=NC=C5,Active,22,,,Moderate,21.71,class = 0
343,375884537,134805006,CC1=C(C(=NO1)C)C2=CC(=CN3C2=CN=C3)C4=CC5=C(CNC5=O)C=C4,Active,64,,,Moderate,64.45,class = 0
344,375885245,134805713,CC(=O)NC1=CC=CC(=C1)C2=CN3C=NC=C3C(=C2)C4=CN=C(C=C4)OC,Active,45,,,Moderate,45.43,class = 0
345,375887915,134808383,C1=CC(=CN=C1)CNC(=O)CC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl,Active,100,,,High,817.79,class = 0
346,375888602,134809070,CN1CCN(CC1)C(=O)CC2=CNC3=C2C=C(C=N3)C4=CC=CC=C4OC5=CC=CC=C5,Active,100,,,High,578.38,class = 0
347,375887302,134807770,COC1=C(C=C(C=C1)C2=NN3C(=NC=C3NC4=CC=NC=C4)C=C2)OC,Active,26,,,Moderate,26.17,class = 0
348,375887945,134808413,COC1=C(C=C(C=C1)C2=NN3C(=NC=C3NC4=CC=C(C=C4)C(=O)N)C=C2)OC,Active,82,,,Moderate,81.8,class = 0
349,375886771,134807239,COC1=C(C=C(C=C1)C2=NN3C(=NC=C3NC4=CC=CC=C4OC)C=C2)OC,Active,100,,,High,620.68,class = 0
350,375884531,134805000,COC1=NC=C(C=C1)C2=NN3C(=NC=C3NC4=C(N=CC=C4)OC)C=C2,Active,100,,,High,757.55,class = 0
351,375888608,134809076,COC1=CC=C(C=C1)NC2=CN=C3N2N=C(C=C3)C4=CC(=C(C=C4)OC)OC,Active,100,,,High,821.17,class = 0
352,375888881,134809348,COCCNC1=NC=C(C2=C1OCC2)C3=CC(=CC=C3)O,Active,77,,,Moderate,77.03,class = 0
353,375884909,134805378,CN(C)C1=CC=CC(=C1)C2=CN=C(C3=C2CCO3)NC4=CN=CC=C4,Active,100,,,High,>1000,class = 0
354,375887037,134807505,CN(C)C1=CC=CC(=C1)C2=CN=C(C3=C2CCO3)NC4=CC(=CC=C4)OC,Active,100,,,High,>1000,class = 0
355,375889090,134809557,COCCNC(=O)C1=CC=C(C=C1)C2=NC=C3N2C=C(N=C3)C4=CC(=CC=C4)F,Active,100,,,High,282.78,class = 0
356,375890161,134810628,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)N)C=N2,Active,100,,,High,135.02,class = 0
357,375890154,134810621,CC(=O)NCCNC(=O)C1=CC=C(C=C1)C2=NC=C3N2C=C(N=C3)C4=CC(=CC=C4)F,Inactive,8,,,Low,7.62,class = 1
358,375888127,134808595,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCO)C=N2,Active,21,,,Moderate,21.23,class = 0
359,375890180,134810647,C1CC(=O)N(C1)CCCNC(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,Active,100,,,High,192.97,class = 0
360,375890158,134810625,C1CS(=O)(=O)CCN1C(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,Active,23,,,Moderate,22.79,class = 0
361,375890183,134810650,CNC(=O)C1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,Active,30,,,Moderate,30.13,class = 0
362,375889102,134809569,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCC5=CN=CN5)C=N2,Inactive,5,,,Low,5.09,class = 1
363,375885464,134805932,CC(C)C1=CC=C(C=C1)OCC2=NC3=C(N2CC4=CC=CC=C4)C(=O)N(CCN3)CC5CCOCC5,Active,100,,,High,643.42,class = 0
364,375888517,134808985,C1C(C2(CN1C(=O)CC3=CC=C(C=C3)O)CN(C2)C4=CC=CC=C4)CNC5=CC=CC=C5,Active,100,,,High,615.89,class = 0
365,375884757,134805226,C1C(C2(CN1CC3=CC=C(C=C3)O)CN(C2)C4=CC=CC=C4)CNC5=CC=CC=C5,Active,100,,,High,>1000,class = 0
366,375886361,134806829,CN(C)C1=CC(=CC=C1)OC2=C(C=C3C(=C2)NC(=O)C34CCN(CC4)C5=NC=CN=C5)OC,Active,100,,,High,>1000,class = 0
367,375888011,134808479,CC1=CC=C(C=C1)C2=NC3=C(NN=C3N=C2)C4=CC=CC=C4OC,Inactive,2,,,Low,1.92,class = 1
368,375888678,134809146,COC1=C(C=C(C=C1)C2=C3C(=NN2)N=CC(=N3)C4=CC=C(C=C4)CO)F,Active,100,,,High,428.14,class = 0
369,375888711,134809178,CN1CC2=C(N=C(C=C2C1=O)N3CCOCC3)C4=CC=CC=C4OC(F)(F)F,Active,100,,,High,>1000,class = 0
370,375889261,134809728,CC(C)C1=CC=C(C=C1)CC(=O)N2CCCC3=C2C=C(C=N3)C(=O)NC4=CN=CC=C4,Active,100,,,High,932.39,class = 0
371,375889260,134809727,CC1=NN2CCCN(C2=C1C3=CC=CC=C3OCC4=CC=CC=C4)C(=O)CC5=CC6=C(C=C5)OCO6,Active,100,,,High,>1000,class = 0
372,375888446,134808914,CC1=NN2CCCN(C2=C1C3=CC=CC=C3C4=CC=CC=C4)CC5CC5,Active,100,,,High,>1000,class = 0
373,375885702,134806170,CC1=NN2CCCN(C2=C1C3=CC=CC=C3C4=CC=CC=C4)CCC(C)C,Active,100,,,High,349.65,class = 0
374,375886668,134807136,CC1=NN2CCCN(C2=C1C3=CC=CC=C3OC4=CC=CC=C4)CC5=CC=CC=C5O,Active,100,,,High,878.77,class = 0
375,375886946,134807414,CC1=NN2CCCN(C2=C1C3=CC=CC=C3C4=CC=CC=C4)CC5=CC=C(S5)C(=O)O,Active,100,,,High,522.76,class = 0
376,375887195,134807663,CC1=NN2CCCN(C2=C1C3=CC=CC=C3C4=CC=CC=C4)CC5=CC=C(C=C5)O,Active,100,,,High,117.9,class = 0
377,375799543,40776966,CCC(CC)C1=NC(=NC(=C1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)COC4=CC=CC=C4)C5=CC=NC=C5,Active,100,,,High,374.02,class = 0
378,375801701,40780411,CC1=C(C(=NN1C2=CC=C(C=C2)OC)C)[C@H]3C[C@@H](C=C3)NCC4=CC=C(C=C4)F,Active,100,,,High,482.07,class = 0
379,375863579,16764695,C1C(C2=C(NC1=O)N=C(S2)N)C3=C(C=C(C=C3)F)F,Inactive,5,,,Low,5,class = 1
380,375855543,51053056,CNC1=NC2=C(S1)C(CC(=O)N2)C3=CC=C(C=C3)Cl,Active,100,,,High,204.16,class = 0
381,375845526,51138561,CNC1=NC2=C(S1)C(CC(=O)N2)C3=CC=CC=C3F,Active,60,,,Moderate,60.26,class = 0
382,375876556,91767277,CC1=C(NC2=CC=CC=C12)CN(C)C3=NC(=NC(=C3)C4CC(C4)O)N,Active,45,,,Moderate,44.82,class = 0
383,375852621,71705536,C1C(CN(C1=O)C2=NNC3=C2C=CC(=C3)Br)C(=O)NCCC4=CC=CC=N4,Active,11,,,Moderate,11.46,class = 0
384,375838471,75466029,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)C(=O)C4CC(=O)N(C4)C5=NNC6=CC=CC=C65,Active,100,,,High,635.18,class = 0
385,375852584,91913176,CC1=CC(=NC=C1)NC(=O)C2CC(=O)N(C2)C3=NNC4=C3C=CC(=C4)Br,Active,63,,,Moderate,62.8,class = 0
386,375842535,71705501,C1COCCC1CNC(=O)C2CC(=O)N(C2)C3=NNC4=C3C=CC(=C4)Br,Active,11,,,Moderate,10.62,class = 0
387,375870877,11173800,C1CC(C2=C(C1)C3=CC=CC=C3N2)NC(=O)C4=CC=CC=C4,Active,100,,,High,680.09,class = 0
388,375850542,75490816,COC1=C(C=C(C=C1)C(=O)NC2CCCC3=C2NC4=CC=CC=C34)OC,Active,100,,,High,237.75,class = 0
389,375850553,71829149,COC1=C(C=C(C=C1)C(=O)NC2CCCC3=C2NC4=C3C=CC=C4Cl)OC,Active,100,,,High,482.69,class = 0
390,375846501,71829145,COC1=CC=CC=C1C(=O)NC2CCCC3=C2NC4=C3C=CC=C4Cl,Active,100,,,High,606.93,class = 0
391,375854627,75490814,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCCC3=C2NC4=CC=CC=C34,Active,100,,,High,925.85,class = 0
392,375842479,90489340,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCCC3=C2NC4=C3C=CC=C4Cl,Active,100,,,High,383.65,class = 0
393,375846567,71828900,C1CC(C2=C(C1)C3=C(N2)C(=CC=C3)Cl)NC(=O)C4=CC5=C(C=C4)OCO5,Active,100,,,High,190.01,class = 0
394,375858633,91903489,CC1=CC=C(C=C1)C2=NC(=C(S2)C(=O)NC3=CC4=C(C=C3)NC(=O)[C@@H]5CCCN5C4=O)C,Active,48,,,Moderate,48.19,class = 0
395,375862599,53137387,CC1=CC(=CC(=C1)C(=O)NC2=CC3=C(C=C2)C(=NC=N3)N4CCCC4)C,Active,100,,,High,505.69,class = 0
396,375868775,53137434,C1CCN(CC1)C2=NC=NC3=C2C=CC(=C3)NC(=O)C4=CC(=CC(=C4)F)F,Active,100,,,High,816.65,class = 0
397,375856591,53137515,C1COCCN1C2=NC=NC3=C2C=CC(=C3)NC(=O)C4=CC(=CC=C4)Br,Active,100,,,High,653.78,class = 0
398,375870856,91903748,CC1=CC=CC=C1S(=O)(=O)N2CCCC(C2)CCC(=O)NCCN(C)C3CCCCC3,Active,33,,,Moderate,32.84,class = 0
399,375861991,53140285,CN1C=C2CCN(CC3=C2C1=CC=C3)C(=O)C4=CC(=C(C=C4)F)Cl,Active,100,,,High,823.73,class = 0
400,375851988,53143674,CC1=CC(=C(C=C1)OC)NC(=O)C2=CN=C(N=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,100,,,High,925.51,class = 0
401,375847930,53143698,COC(=O)C1=CC(=CC=C1)NC(=O)C2=CN=C(N=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,100,,,High,670.52,class = 0
402,375879134,45226889,CC1=C(C(=CC=C1)N2C3=C(C=N2)C(CCC3)NC(=O)C4=C(C=CC(=C4F)F)F)C,Active,100,,,High,551.93,class = 0
403,375866176,53158961,CC1=CC=C(C=C1)C(=O)N2CCC3=C(C2)C=C(S3)C(=O)NC(C)C4=CC=CC=C4,Active,100,,,High,425,class = 0
404,375844078,53160384,CCCCC1=CC=C(C=C1)NC(=O)C2=CC3=C(CCN3S(=O)(=O)C)C=C2,Active,100,,,High,385.38,class = 0
405,375875666,46990893,CCN1N=CC(=N1)NC(=O)CN2C3=C(C=C(C=C3)C4=CC(=CC=C4)OC)C=N2,Active,100,,,High,853.32,class = 0
406,375871810,56715543,C1CC(CN(C1)C2=NC(=NC3=C2CCC3)C4=CC=CC=C4)C(=O)N5CCC(CC5)N,Inactive,8,,,Low,7.56,class = 1
407,375842572,90488048,C1=CC(=CC=C1C2=NC=C(C(=N2)C3=CC=NC=C3)C(=O)O)F,Active,38,,,Moderate,38.32,class = 0
408,375854679,71839006,CCOC1=CC=CC=C1C(=O)NC2CCN(C2=O)C3=CC(=CC(=C3)C)C,Active,100,,,High,>1000,class = 0
409,375846594,87051521,CCCCN(C)C(=O)C1=C(SC2=C1C(=O)N(C=C2)CCC)C,Active,100,,,High,112.65,class = 0
410,375882407,72846657,CC1=C(C=CC(=C1)F)N2CCC(CC2)N3C[C@@H]([C@H](C3)NC(=O)C)C4CC4,Active,100,,,High,143.92,class = 0
411,375845721,91904528,CCOC1=CC(=O)N2CCCCC2=C1C(=O)NC3=CC(=C(C=C3OC)Cl)OC,Active,69,,,Moderate,68.66,class = 0
412,375879261,56886853,C1CN(CCN(C1)C2=CC=C(C=C2)F)CC3[C@H]4[C@@H]3CNC4,Active,49,,,Moderate,48.82,class = 0
413,375879869,70726807,C1CC(CN(C1)C(=O)N)C(=O)N2CCCN(CC2)C3=CC=C(C=C3)F,Active,96,,,Moderate,96.15,class = 0
414,375845614,91887902,C1CC(CN(C1)C2=NNC(=C2)C3=CC=C(C=C3)F)NC(=O)C4=CC5=C(C=C4)N=CC=C5,Active,100,,,High,>1000,class = 0
415,375845589,87051912,C[C@H]1CN(C[C@@H]1C2=NC(=NO2)C3=CN=CC=C3)C(=O)C4=NN(C5=CC=CC=C54)C,Active,100,,,High,739.05,class = 0
416,375869899,87051947,C[C@H]1CN(C[C@@H]1C2=NC(=NO2)C3=CC=NC=C3)C(=O)C4=NN(C5=CC=CC=C54)C,Active,100,,,High,666.52,class = 0
417,375865736,91653956,C[C@H]1CN(C[C@@H]1C2=NC(=NO2)C3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)F,Active,100,,,High,808.94,class = 0
418,375857652,87051999,C[C@H]1CN(C[C@@H]1C2=NC(=NO2)C3=CC=CC=C3)C(=O)NC4=C(C=C(C=C4)F)F,Active,100,,,High,917.2,class = 0
419,375841555,87052427,C1CN(CC2=C1C(=O)N3C(=N2)C=CN3)C(=O)C4=CC5=C(C=C4)N=CC=C5,Inactive,6,,,Low,5.6,class = 1
420,375867775,53183866,CC1=NC=C(C=C1)C(=O)N2CCC3=C(C2)N=C4C=C(NN4C3=O)C5=CC=CC=C5,Inactive,1,,,Low,1.2,class = 1
421,375873932,70756727,CC1=NOC(=C1)CNC(=O)C2=CC3=C(C=C2)N(C(=O)N3CC4CC4)C5CCCCC5,Active,100,,,High,870.43,class = 0
422,375862375,87052503,COC1=CC2=C(C=C1)C3=NNC(=C3CC2)C(=O)N4CCC5=C(C4)N=C6C=C(NN6C5=O)C7=CC=CC=C7,Active,16,,,Moderate,15.75,class = 0
423,375858341,87052505,CC1=C(C(=NO1)C)CC2=CC=C(O2)C(=O)N3CCC4=C(C3)N=C5C=C(NN5C4=O)C6=CC=CC=C6,Inactive,9,,,Low,9.03,class = 1
424,375866379,87052512,C1CN(CC2=C1C(=O)N3C(=N2)C=C(N3)C4=CC=CC=C4)C(=O)CCC(=O)N5CC(=O)NC6=CC=CC=C65,Inactive,7,,,Low,6.84,class = 1
425,375866399,136665503,C1CN(CCC2=C1C(=O)NC(=N2)N3CCOCC3)CC4=C(C=CC(=C4)Cl)F,Active,46,,,Moderate,46.29,class = 0
426,375854302,136665504,C1CN(CCC2=C1C(=O)NC(=N2)N3CCOCC3)CC4=C(C=C(C=C4)Cl)F,Active,71,,,Moderate,71.19,class = 0
427,375872997,70766183,CCC1=C(C2=C(N1)C=CC(=C2)CNC(=O)CC3=CN=C4N3C=CC=C4C)C,Active,32,,,Moderate,32.17,class = 0
428,375881590,70777500,CN(C)C1CCN(C1)CC2=C(N=C3C=C(C(=CC3=C2)OC)OC)C4=CC(=CC=C4)Cl,Active,100,,,High,243,class = 0
429,375856522,91916716,C1CN(CCC1CC2=NC(=NO2)C3=NC=CN=C3)C(=O)C4=CC5=C(C=C4)OCO5,Active,44,,,Moderate,43.97,class = 0
430,375874769,74244241,CC(C)(C#N)C1=CC=C(C=C1)C2=NC=C(C=C2)CN3CCN(CC3)C,Active,47,,,Moderate,47.3,class = 0
431,375844348,91890680,CCCCOC1=CC=C(C=C1)C(=O)N2CCC(CC2)C3=NNC(=O)N3C4=CC=C(C=C4)C,Active,100,,,High,>1000,class = 0
432,375861696,136665405,CCC1=CC(=CC=C1)NC(=O)C2=CC(=NN2)C3=CC=CN3,Active,90,,,Moderate,90.22,class = 0
433,375847692,136665409,COC1=C(C=C(C=C1)NC(=O)C2=CC(=NN2)C3=CC=CN3)OC,Active,100,,,High,203.05,class = 0
434,375857688,136665413,C1=CC(=CC(=C1)F)NC(=O)C2=CC(=NN2)C3=CC=CN3,Active,76,,,Moderate,75.63,class = 0
435,375845678,136665415,C1=CNC(=C1)C2=NNC(=C2)C(=O)NC3=C(C=C(C=C3)F)F,Active,100,,,High,166.14,class = 0
436,375847672,136665423,C1=CC(=CC(=C1)OC(F)(F)F)NC(=O)C2=CC(=NN2)C3=CC=CN3,Active,100,,,High,102.83,class = 0
437,375849698,136665425,CC1=C(C=C(C=C1)NC(=O)C2=CC(=NN2)C3=CC=CN3)F,Active,100,,,High,234.63,class = 0
438,375835083,91909359,C1=CC=C(C=C1)C2=NN3C(=NN=C3CNC(=O)CC4=CC=CS4)C=C2,Active,56,,,Moderate,55.91,class = 0
439,375832297,110196975,COCCNC(=O)[C@H]1C[C@@H](CN1CC2=CC3=C(C=C2)NC=C3)OC4=CC=CC=C4,Active,100,,,High,186.25,class = 0
440,375861246,110197656,CC1=C(C(=NO1)C)S(=O)(=O)N2CCC3(CC2)C4=C(CCN3)C5=C(N4)C=CC(=C5)OC,Active,100,,,High,160.58,class = 0
441,375863122,110202952,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2CO)C(=O)C3=NN(C4=CC=CC=C43)C,Active,92,,,Moderate,91.55,class = 0
442,375851432,124050542,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2COC)C(=O)C3=NNC4=CC=CC=C43,Active,38,,,Moderate,37.81,class = 0
443,375855233,124050558,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2COC)C(=O)C3=NN(C4=CC=CC=C43)C,Active,65,,,Moderate,65.34,class = 0
444,375829491,91911826,CC1=C(C=C(C=C1)C(=O)NC2CCN(CC2)C3=CC(=O)N(N=C3)CC4CC4)C,Active,100,,,High,497.53,class = 0
445,375837494,91925560,COC1=CC=C(C=C1)C(=O)N[C@@H]2CCC[C@@H]2C(=O)N3CCC(CC3)CC4=CC=CC=C4,Active,100,,,High,>1000,class = 0
446,375853249,71959602,CCCN1C2=C(C=C(C=C2)NC(=O)C3=CC=CS3)S(=O)(=O)N=C1CC(C)C,Active,100,,,High,274.56,class = 0
447,375859106,71959588,CCCN1C2=C(C=C(C=C2)NC(=O)C3=CC=CO3)S(=O)(=O)N=C1CC(C)C,Active,100,,,High,238.65,class = 0
448,375841251,46058622,CCNC(=O)C1=COC(=N1)COC2=CC3=C(CCN(C3C4=CC=C(C=C4)F)C(=O)CC(C)C)C=C2,Active,100,,,High,>1000,class = 0
449,375853231,46059187,CCN(CC)C(=O)C1=COC(=N1)COC2=CC3=C(CCN(C3C4=CC(=CC=C4)F)C(=O)C(C)C)C=C2,Active,100,,,High,>1000,class = 0
450,375817816,137299399,C1CCC(CC1)CN2CCCC(C2)C3=NN(C(=O)N3)C4=CC=C(C=C4)Cl,Active,100,,,High,>1000,class = 0
451,375817885,137299434,COC1=CC=C(C=C1)C(=O)N2CCCC(C2)C3=NN(C(=O)N3)C4=CC=C(C=C4)OC,Active,100,,,High,254.76,class = 0
452,375817886,137299435,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)CC4=CC=C(C=C4)F,Active,100,,,High,524.15,class = 0
453,375817968,137299474,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)C4CC4,Active,100,,,High,108.61,class = 0
454,375817790,137299390,C1CN(CCC1C2=NN(C(=O)N2)C3=CC=C(C=C3)F)C(=O)C4=CC=CC=C4,Active,100,,,High,521.17,class = 0
455,375817855,137299421,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)C(=O)C4=CC=CC=C4,Active,100,,,High,250.02,class = 0
456,375817889,137299438,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)[S+](=O)(C4=CC=CC(=C4)C(F)(F)F)[O-],Active,100,,,High,433.92,class = 0
457,375817917,137299452,CC1=C(C(=NO1)C)[S+](=O)(N2CCC(CC2)C3=NN(C(=O)N3)C4=CC=C(C=C4)OC)[O-],Active,100,,,High,308.22,class = 0
458,375817948,137299467,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)C(=O)C4CC4,Active,100,,,High,130.36,class = 0
459,375817981,137299468,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)C(=O)CC4=CC=C(C=C4)F,Active,100,,,High,410.34,class = 0
460,375820357,137291230,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)CC4CCCCC4,Active,100,,,High,321.69,class = 0
461,375820358,137291231,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)CC4=CC=CC=N4,Active,71,,,Moderate,71.43,class = 0
462,375818692,137299525,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)C4=CC(=CC=C4)OC,Active,100,,,High,430.64,class = 0
463,375818693,137299526,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)NC4=CC=CC=C4,Active,100,,,High,315.39,class = 0
464,375818818,137299529,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)[S+](=O)(C4=CC=CC(=C4)C(F)(F)F)[O-],Active,100,,,High,564.42,class = 0
465,375819053,137299536,CC1=CC=C(C=C1)C(=O)N2CCCC(C2)C3=NN(C(=O)N3)C4=CC=C(C=C4)OC,Active,100,,,High,602.95,class = 0
466,375819054,137299537,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)C4=CC=CC=C4F,Active,100,,,High,341.38,class = 0
467,375816917,137299202,C1CC1C2=NC3=C(CCN(CC3)CC4=CC=C(C=C4)F)C(=N2)C5=CC=C(C=C5)O,Active,100,,,High,421.05,class = 0
468,375817303,137299235,C1CCC(CC1)CN2CCC3=C(CC2)N=C(N=C3C4=CC=C(C=C4)O)C5CC5,Active,100,,,High,189.98,class = 0
469,363681148,118170767,C[C@@H]1CN(S(=O)(=O)C2=CC=CC=C2O1)CC3=C(C=CC(=C3)[C@H](CC(=O)O)C4=CC5=C(C(=C4)OC)N(N=N5)C)C,Active,100,,,High,898.06,class = 0
470,363681205,72710568,CC1=C(SC(=N1)[C@@](C)(CO)O)C2=CC(=C(N=C2)N)O[C@H](C)C3=C(C=CC(=C3)F)N4N=CC=N4,Active,100,,,High,322.37,class = 0
471,363681262,5284645,C[C@H]1CCC[C@@H](CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1)O,Active,100,,,High,795.2,class = 0
472,363681279,133053814,C[C@H]1C/C=C/C2[C@@H](C(=C)[C@H](C3[C@@]2([C@H](/C=C/[C@](C1)(C)O)OC(=O)C)C(=O)N[C@H]3CC4=CC=CC=C4)C)O,Active,55,,,Moderate,55,class = 0
473,375823984,134798059,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=NC=CC(=N3)NC4=CC=CC=C4OC,Active,100,,,High,>1000,class = 0
