PUBCHEM_SID,PUBCHEM_CID,SMILES_ISO,PUBCHEM_ACTIVITY_OUTCOME,Phenotype (0-10 = Low Permeability; 10-100 = Moderate Permeability; >100 = High Permeability),Permeability,Compound QC
24396619,16018627,COC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)C=C)C(=O)O)CNCC4=CC=CC=C4,Active,High,900.13,QC'ed NCATS
24401685,16023293,CC1=C(C=CC=C1Cl)N2C(=C(C=N2)C(=O)NC3=C(C=C(C=C3)Br)F)C4CCNCC4,Active,High,>1000,QC'ed NCATS
24416220,5055687,CCOC(=O)N1CCC2=C(C1)SC(=C2C(=O)NC3=C(C=CC(=C3)Cl)OC)NCC4=C(C=CS4)C,Inactive,Low,1,QC'ed NCATS
26755778,16759608,CC(=O)O[C@H]1C[C@H]([C@@]2(CCC3C(=O)O[C@@H](C[C@@]3([C@H]2C1=O)C)C4=COC=C4)C)C(=O)OC,Inconclusive,N/F,N/F,QC'ed NCATS
162211048,71307834,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)Cl,Active,High,>1000,QC'ed NCATS
172113116,72710617,C1C(C12C3=CC=CC=C3NC2=O)C4=CC(=C(C(=C4)Cl)O)Cl,Active,High,277.72,QC'ed NCATS
170465792,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Active,Moderate,61.98,QC'ed NCATS
24393808,16016035,CCOC1=CC=CC(=C1)C(=O)NC2=NC3=C(S2)CC(CC3)C(C)(C)C,Inactive,Low,1,QC'ed NCATS
124391134,2431573,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl,Active,Moderate,30.22,QC'ed NCATS
162210969,71307836,CC(C)(C)N1C=NC2=C1C=CC(=C2)C(=O)N3CCCCC3,Active,High,105.65,QC'ed NCATS
161004054,70789410,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2OC)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
170466916,72187530,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)C4=CC(=CC=C4)NC(=O)CC5=CC6=C(C=C5)OCO6,Inconclusive,N/F,N/F,QC'ed NCATS
161004498,70789647,COC1=C(C=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)F,Active,High,107.24,QC'ed NCATS
160844121,70701462,CNC1=C(N=C(O1)C2=C(C(=CC=C2)Cl)Cl)C#N,Active,High,505.22,QC'ed NCATS
384569290,57336276,CC1=C(C(=NO1)C2=CC=C(C=C2)F)COC3=NC=C(C=C3)C(=O)N4CCS(=O)(=O)CC4,Active,High,258.11,QC'ed NCATS
99431312,46926035,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=CC=CC=C5Br)C(=O)C1,Inconclusive,N/F,N/F,QC'ed NCATS
161004040,70789535,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)Br)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inactive,Low,7.71,QC'ed NCATS
170466933,72187557,CC1=C(N=C(S1)NC(=O)CC2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)N(CC5)C(=O)C6=CC=CC=C6OC,Inconclusive,N/F,N/F,QC'ed NCATS
24275611,15991364,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=CC=C5)O,Active,High,102.76,QC'ed NCATS
137275907,159324,CN1C=NC=C1[C@@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,Active,High,>1000,QC'ed NCATS
4259887,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,Active,High,186.94,QC'ed NCATS
29216561,5066378,CCN1C2=C(C=CC=C2SC1=NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4)OC,Inconclusive,N/F,N/F,QC'ed NCATS
161004469,70789665,COC1=C(C=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)C(=O)OC,Active,High,676.12,QC'ed NCATS
99367960,46907745,C1CN(CCC1C(=O)N)C2=NC=C(S2)C3=CC(=CC=C3)F,Active,High,895.99,QC'ed NCATS
375857688,136665413,C1=CC(=CC(=C1)F)NC(=O)C2=CC(=NN2)C3=CC=CN3,Active,High,136.13,QC'ed NCATS
377648755,765019,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4CCCCC4,Active,High,>1000,QC'ed NCATS
375888517,134808985,C1C(C2(CN1C(=O)CC3=CC=C(C=C3)O)CN(C2)C4=CC=CC=C4)CNC5=CC=CC=C5,Active,High,196.52,QC'ed NCATS
4237692,3232805,CC1=C(C(=NO1)C)C(=O)N2CCC3(CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)CC2,Active,High,>1000,QC'ed NCATS
99367994,46907695,C1CN(CCC1C(=O)N)C2=NC=C(S2)C3=CC4=C(C=C3)OC(O4)(F)F,Active,High,438.24,QC'ed NCATS
163827001,71660730,C1CC2=C(C(N=C(N2)NC3=NC4=C(O3)C=CC(=C4)[S+](=O)(N5CCOCC5)[O-])C6=C(C=NN6)Cl)C(=O)C1,Active,High,169.4,QC'ed NCATS
162010106,71296020,C1CN(CCC1(F)F)C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
384569003,53358901,C1=CC2=C(N=C1)N=C(C=C2)CCCC(=O)NCC3=CC(=NO3)C4=CC(=C(C=C4)F)C(F)(F)F,Active,High,>1000,QC'ed NCATS
87550836,44640157,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=CC=CC=C5Cl)C(=O)C1,Active,High,>1000,QC'ed NCATS
24412196,7287095,CC1=C(SC2=NC(=NN12)C3=CC=C(C=C3)OC)CCNC(=O)C(C)(C)C,Active,High,213.98,QC'ed NCATS
377702361,135416948,CC1=NN(C2=C1C(=CC(=O)N2)C(F)(F)F)CCC3=NC(=CS3)C4=CC=CC=C4F,Inconclusive,N/F,N/F,QC'ed NCATS
377656637,7536878,COC1=CC=C(C=C1)CNC(=O)C2=NC3=CC=CC=C3N=C2,Active,High,>1000,QC'ed NCATS
24402356,16023955,CC1=CC=C(C=C1)N2C(=C(C=N2)C(=O)NCCN3CCC(CC3)CC4=CC=CC=C4)C5CCN(CC5)C(=O)OC(C)(C)C,Inconclusive,N/F,N/F,QC'ed NCATS
375887063,134807531,COC1=NC=C(C=C1)C2=CC(=CN3C2=CN=C3)C4=C5C=NNC5=CC=C4,Inactive,Low,1,QC'ed NCATS
99367940,46907757,CCOC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,High,>1000,QC'ed NCATS
375860622,71826352,COC1=CC2=C(C=C1)N(C=C2)CCC(=O)NC3=CC4=C(C=C3)NC(=O)[C@@H]5CCCN5C4=O,Active,Moderate,22.63,QC'ed NCATS
144116899,60167920,CC(C)C1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,Inconclusive,N/F,N/F,QC'ed NCATS
375859106,71959588,CCCN1C2=C(C=C(C=C2)NC(=O)C3=CC=CO3)S(=O)(=O)N=C1CC(C)C,Active,High,426.53,QC'ed NCATS
144116857,60167830,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5)C(F)(F)F,Active,High,786.41,QC'ed NCATS
375888879,134809346,COCCN1C=CC2=C(N=C(C=C21)C3=CC4=C(C=C3)C(=O)NC4)C5=CCOCC5,Active,Moderate,71.69,QC'ed NCATS
24395988,16018041,CC(C)OC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)C(=O)N3CCOC4=C3C=C(C=C4)Cl,Active,High,451.05,QC'ed NCATS
124955476,11315474,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,Active,High,>1000,QC'ed NCATS
24270647,15990032,CC1=CC(=C(C=C1)C)NC2=C(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)C(F)(F)F,Inactive,Low,1,QC'ed NCATS
861680,662914,C1C(=NN2C(=NN=C2S1)C3=CC=NC=C3)C4=CC=CC=C4,Active,High,195.38,QC'ed NCATS
50112659,735924,C1C(=NN2C(=NN=C2S1)C3=CC=NC=C3)C4=CC=C(C=C4)Cl,Active,High,371.52,QC'ed NCATS
161003937,70789361,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)N5C=CC=N5)C,Inconclusive,N/F,N/F,QC'ed NCATS
375847930,53143698,COC(=O)C1=CC(=CC=C1)NC(=O)C2=CN=C(N=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,High,>1000,QC'ed NCATS
161004028,70789558,CC(C)OC1=CC=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC=C3,Inconclusive,N/F,N/F,QC'ed NCATS
161004058,70789443,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2C(=O)NC3=NC(=CS3)C4=CC=CC=C4)OC)OC,Active,High,324.94,QC'ed NCATS
160844107,70701394,C1=CC=C(C=C1)N[S+](=O)(C2=CC=C(C=C2)NCC3=C(C(=CC=C3)C(F)(F)F)F)[O-],Active,High,306.35,QC'ed NCATS
170363377,3158002,C1COCCN1S(=O)(=O)C2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3)Cl,Active,High,727.76,QC'ed NCATS
24787209,5738263,C1=CC=C(C=C1)CN2C(=NC3=CC=CC=C3C2=O)/C=C/C4=CN=CC=C4,Active,High,>1000,QC'ed NCATS
24396406,16018446,CCN1CCN(CC1)CCCNC(=O)C2=CC3=C(C=C2)N4C=C(N=C4S3)C5=CC=C(C=C5)OC,Inconclusive,N/F,N/F,QC'ed NCATS
375854679,71839006,CCOC1=CC=CC=C1C(=O)NC2CCN(C2=O)C3=CC(=CC(=C3)C)C,Active,High,>1000,QC'ed NCATS
375887037,134807505,CN(C)C1=CC=CC(=C1)C2=CN=C(C3=C2CCO3)NC4=CC(=CC=C4)OC,Inconclusive,N/F,N/F,QC'ed NCATS
377707745,3604519,CC1=C2C(=CC=C1)C(=CC(=N2)C3=CC=CS3)C(=O)O,Active,Moderate,18.81,QC'ed NCATS
24270611,15990000,CC1=C(C=C(C=C1)NC2=C(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)C(F)(F)F)F,Inactive,Low,1,QC'ed NCATS
375813726,134791199,C1CCN(C1)C(=O)C2=NC(=C3N2C=CC=C3)C4=CN=C(C=C4)Cl,Active,High,>1000,QC'ed NCATS
24414536,16033974,CC1=C(C=C(C=C1)N2C3=NC=NC(=C3C=N2)NCCCN(C)C)Cl,Active,High,>1000,QC'ed NCATS
124953236,135412648,C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)O,Active,High,513.47,QC'ed NCATS
161004039,70789526,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Br)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inactive,Low,2.4,QC'ed NCATS
160844050,70701429,COC1=CC=CC(=C1CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)O,Inactive,Low,5.16,QC'ed NCATS
144116990,60167837,CC(C)C1=CC=CC=C1C2=NC=C(C(=N2)NC3(CC3)C4=CC=C(C=C4)C5=CN=CC=C5)F,Active,High,>1000,QC'ed NCATS
174007008,73265331,CC1=CC(=CC(=C1Cl)C)OCCCC2=C(N(C3=C2C=CC=C3C4=C(N(N=C4COC5=CC=C(C=C5)N6CCN(CC6)C(=O)C)C)C)CC7=CN=CC=C7)C(=O)O,Active,High,370.4,QC'ed NCATS
24270930,15990297,CCOC1=CC=C(C=C1)NC2=NC(=NC(=C2NC(=O)C3=CC=C(C=C3)C)C)NC4=CC=C(C=C4)OCC,Active,High,211,QC'ed NCATS
161003881,4343860,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)Cl,Active,Moderate,16.6,QC'ed NCATS
170464736,14720269,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+],Active,High,211.55,QC'ed NCATS
161004477,70789659,CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5)F,Active,High,>1000,QC'ed NCATS
24274920,2862091,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)NC(=O)COC4=CC=C(C=C4)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
853614,656272,CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,Active,High,506.35,QC'ed NCATS
7971169,3382936,CCOC(=O)N1CCN(CC1)CC2=NC3=C(N2CC4=CC=C(C=C4)F)C(=O)N(C(=O)N3C)C,Active,High,549.95,QC'ed NCATS
163826997,16373899,C1CN(CCN(C1)C2=NC=C(C=C2)C(F)(F)F)CC3=CC(=O)N4C=CC=CC4=N3,Active,High,>1000,QC'ed NCATS
124953243,72725,C1=CC=C2C(=C1)N=C3C=C(C(=O)C=C3O2)N,Active,High,105.52,QC'ed NCATS
375888881,134809348,COCCNC1=NC=C(C2=C1OCC2)C3=CC(=CC=C3)O,Active,High,411.65,QC'ed NCATS
24779668,4438424,C1CN(C2=CC=CC=C21)C3=NC=NC(=C3[N+](=O)[O-])N,Active,High,294.89,QC'ed NCATS
4240280,3235386,C1=CC=C(C=C1)NC2=NC=NC(=C2)C3=COC=C3,Active,High,>1000,QC'ed NCATS
160844126,70701475,C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CC4=CC=CC=C43)C#N,Active,Moderate,22.9,QC'ed NCATS
170466912,72187562,CC1=C(N=C(S1)NC(=O)CC2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)NCC5,Inconclusive,N/F,N/F,QC'ed NCATS
170363371,1451106,CC1=C(N=C(S1)NC(=O)CC2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)N(CC5)C(=O)C6CCCCC6,Inconclusive,N/F,N/F,QC'ed NCATS
161004490,70789673,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC(=NC=C5)C(F)(F)F)F,Active,Moderate,11.6,QC'ed NCATS
24267171,4115695,CC(C)(C)C1=CC=C(C=C1)C(=O)N2CC(=O)NC3=C(C2C4=CC=C(C=C4)F)C=C(C=C3)F,Active,High,>1000,QC'ed NCATS
161004153,70789477,CC1=CC(=C(O1)C)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,High,768.45,QC'ed NCATS
124880509,3851,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)NCC5=CC=CC=C5I,Active,High,>1000,QC'ed NCATS
99431321,46926044,CN1C=C(C(=N1)C2C3=C(CCCC3=O)NC(=N2)NC4=NC5=CC=CC=C5O4)Br,Active,High,>1000,QC'ed NCATS
162211008,71307876,CCN(CC)C(=O)C1=CC2=C(C=C1)N(C=N2)C3=CC=CC(=C3)C,Active,High,888.91,QC'ed NCATS
375817886,137299435,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)CC4=CC=C(C=C4)F,Active,High,850.76,QC'ed NCATS
57262481,4853713,C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=N4,Active,High,656.57,QC'ed NCATS
363677918,864492,CC1=CC(=NC2=C1C(=C(S2)C(=O)NCC3=CC=C(C=C3)OC)N)C,Active,High,>1000,QC'ed NCATS
99367979,46907700,CC1=CN=C(N=C1C2=CC(=CC=C2)N(C)C)N3CCC(CC3)C(=O)N,Active,High,666.49,QC'ed NCATS
375842479,90489340,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCCC3=C2NC4=C3C=CC=C4Cl,Active,High,592.74,QC'ed NCATS
99367946,46907656,CN(C)C1=CC=CC(=C1)C2=NC=CC(=N2)N3CCC(CC3)C(=O)N,Active,High,286.52,QC'ed NCATS
375818428,134794920,C1CN(CCN1C2=NC=CC=N2)C(=O)C3=NC(=C4N3C=CC=C4)C5=CN=CC=C5,Active,High,>1000,QC'ed NCATS
4259336,1252141,CN1C2=C(C=C(C=C2)NC(=O)COC3=CC=C(C=C3)Cl)N=C1CN4CCCC4,Active,High,>1000,QC'ed NCATS
99431320,46926043,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=CC=CC=C5I)C(=O)C1,Inconclusive,N/F,N/F,QC'ed NCATS
161004155,70789491,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC5=CC=CC=C5C=C4,Active,High,>1000,QC'ed NCATS
174006570,24785538,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,Active,High,780.12,QC'ed NCATS
7977755,868798,CC1=CN=C(C=C1)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=C(O4)C,Active,High,>1000,QC'ed NCATS
124391206,53255389,C1=CC=NC(=C1)N[S+](=O)(C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl)[O-],Active,High,651.48,QC'ed NCATS
49819947,4307096,COC1=CC=C(C=C1)CCNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)CCCN5CCOCC5,Active,High,394.5,QC'ed NCATS
24398415,16020144,CCOC(=O)C1=CC=C(C=C1)N2C(C3=C(NN=C3C2=O)C4=CC=CO4)C5=CC=C(C=C5)C,Inactive,Low,6.34,QC'ed NCATS
144116927,60167883,CC1=NC=C(C=C1)C2=CC=C(C=C2)CNC3=NC(=NC4=CC=CC=C43)C5=CC=CC=C5C(C)C,Inconclusive,N/F,N/F,QC'ed NCATS
375862599,53137387,CC1=CC(=CC(=C1)C(=O)NC2=CC3=C(C=C2)C(=NC=N3)N4CCCC4)C,Active,High,>1000,QC'ed NCATS
162010108,71296001,CNC1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Active,High,256.99,QC'ed NCATS
17507451,2874147,COC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(N2CC(=O)NN)C4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
24269973,15989546,CC(=O)NC1=CC=C(C=C1)NC(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC=C(S3)Br,Active,High,224,QC'ed NCATS
136889468,57383399,CCN1C2=C(C=CC(=C2)C(=O)NCC3=CC=CC=C3)S(=O)C4=CC=CC=C4C1=O,Active,High,775.35,QC'ed NCATS
375884850,134805319,CC1=CC(=C(C(=O)N1)CNC(=O)C2=C3C=CN(C3=CC(=N2)C4=CC=CC(=C4)CO)C)C,Active,High,>1000,QC'ed NCATS
363681477,71661259,CN1CCN(CC1)C(=O)C2=CC3=C(C=C2)C=C(C=C3)CCNC4=NC=NC5=C4C=C(C=C5)C#N,Active,High,545.34,QC'ed NCATS
162211026,71307843,CC1=CC(=C(N1C2=CC=CC(=C2)C#N)C)C3=NN=C4N3CCCCC4,Active,High,228.67,QC'ed NCATS
144116931,60167921,CC1=CN=C(N=C1NCC2=CC=C(C=C2)C3=CN=CC=C3)C4=CC=CC=C4C(F)F,Active,High,>1000,QC'ed NCATS
24267952,15987948,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)CCCCN3C(=O)C4=C(C=CS4)NC3=O,Active,High,855.2,QC'ed NCATS
375844493,90489320,C1CC(C2=C(C1)C3=C(N2)C(=CC=C3)Cl)NC(=O)CC4=NNC(=O)C5=CC=CC=C54,Inconclusive,N/F,N/F,QC'ed NCATS
4262889,2954542,CC(C1=CC=CC=C1)NC2=NC(=NC3=CC=CC=C32)N4CCN(CC4)S(=O)(=O)C,Active,High,>1000,QC'ed NCATS
164755706,71771108,CC1=C(C(=CC=C1)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(N(C)C)[O-],Active,High,354.99,QC'ed NCATS
163826990,71660747,C1CCN(C1)[S+](=O)(C2=CC3=C(C=C2)OC(=N3)NC4=NC(C5=C(N4)CCCC5=O)C6=C(C=NN6)Cl)[O-],Active,Moderate,47.04,QC'ed NCATS
24276304,5292916,COC1=C(C=CC(=C1)/C=C(\C#N)/C2=NC3=CC=CC=C3N2)OCC4=CC=C(C=C4)F,Active,High,640.64,QC'ed NCATS
24415227,4246541,CCN(CC)S(=O)(=O)C1=CC2=C(C=C1)OC(=C2C)C(=O)NC3=C(C=C(C=C3)Br)F,Inconclusive,N/F,N/F,QC'ed NCATS
4262480,2961632,CCN1CCN(CC1)CCCOC2=CC=C(C=C2)C3=CC=CC=C3,Active,High,>1000,QC'ed NCATS
174006651,16725316,CCN(CC)CCN1C2=C(C=CC(=C2)OCCN(CC)CC)C(=O)C3=C1C=C(C=C3)Cl,Active,High,>1000,QC'ed NCATS
162010081,946310,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC=CC=C4F,Active,High,838.95,QC'ed NCATS
375824425,134797955,COC1=CC=CC=C1NC2=NC(=NC=C2)N3CCN(CC3)C(=O)C4=CC=CC=C4Cl,Active,High,173,QC'ed NCATS
99367965,46907670,C1CN(CCC1C(=O)N)C2=NN=C(S2)C3=CC=C(C=C3)Br,Active,High,524.51,QC'ed NCATS
375886165,134806633,CC1=CC(=C(C(=O)N1)CNC(=O)C2=C3C=CN(C3=CC(=N2)C4=CC=C(C=C4)F)C(C)C)C,Inconclusive,N/F,N/F,QC'ed NCATS
4242680,3237504,COC1=CC(=C(C=C1)OC)C2=NC3=CC=CC=C3C(=C2)C(=O)N4CCN(CC4)C5=NC=CC=N5,Active,High,>1000,QC'ed NCATS
375817949,137299468,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)C(=O)CC4=CC=C(C=C4)F,Active,High,540.4,QC'ed NCATS
163827042,71660777,CN1C=C(C(=N1)C2C3=C(CCCC3=O)NC(=N2)NC4=NC5=CC=CC=C5O4)Cl,Active,High,633.38,QC'ed NCATS
375888647,134809115,CN1C2=CC(=C(N=C2N=C1C(=O)NCCC3=CC=CC=N3)C4=CC=CC=C4)Cl,Active,High,>1000,QC'ed NCATS
375886946,134807414,CC1=NN2CCCN(C2=C1C3=CC=CC=C3C4=CC=CC=C4)CC5=CC=C(S5)C(=O)O,Active,High,108.83,QC'ed NCATS
24383993,16007814,CCN1C2=C(C=CC(=C2)C(=O)NCC3=CC=C(C=C3)OC)S(=O)C4=CC=CC=C4C1=O,Active,High,882.71,QC'ed NCATS
24406580,7498662,CC1=CC=CC=C1C(=O)NC2=CC3=C(C=C2)N(CCC3)C(=O)C4=CC=CS4,Active,High,686.94,QC'ed NCATS
174007018,58221879,CC(C#CC1=CC2=C(CCN2C3=NC(=NC=C3Cl)N)C=C1)(C4=NC=CS4)O,Active,High,515.55,QC'ed NCATS
363678392,46742353,C1=CC=C(C=C1)C2=CC=C(C=C2)CNC3=C(N=NC(=N3)C4=CC=CC=N4)C5=CC=CC=C5,Active,High,>1000,QC'ed NCATS
24789796,135443095,C1=CC=C(C(=C1)/C=N/NC2=C(C=CC=N2)[N+](=O)[O-])O,Inconclusive,N/F,N/F,QC'ed NCATS
136889449,57383397,CCN1C2=C(C=CC(=C2)C(=O)N[C@H](C)C3=CC=C(C=C3)Br)[S@@](=O)C4=CC=CC=C4C1=O,Inconclusive,N/F,N/F,QC'ed NCATS
160844133,63549790,CNC1=NC=CC(=N1)C2=CC=CC3=CC=CC=C32,Active,High,904.52,QC'ed NCATS
162010083,929366,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=CC=C4)Cl,Active,High,250.24,QC'ed NCATS
144116988,60167816,CC1=CN=C(N=C1NCC2CCN(CC2)C3COC3)C4=CC=CC=C4C(C)C,Active,High,>1000,QC'ed NCATS
161004088,70789461,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CN=CC=C4,Active,High,103.6,QC'ed NCATS
164755741,71771059,CC1=CC(=C(N1)C(=O)NC2=CC(=CC=C2)[S+](=O)(NC3=CC=C(C=C3)Br)[O-])C,Active,High,736.82,QC'ed NCATS
164755763,26850581,COC1=C(C=C(C=C1)NC(=O)C2=CC=CC=C2)S(=O)(=O)NC3=CC=C(C=C3)Br,Active,High,731.11,QC'ed NCATS
124350055,44312236,C1=COC(=C1)C(=O)C2=CC\3=C(C=C2)NC(=O)/C3=C\C4=CC(=C(C(=C4)Cl)O)Cl,Active,Moderate,41.15,QC'ed NCATS
24392254,16014644,CCCCN1C=C2C(=C1C3=CC=C(C=C3)Br)C(=O)N(C(=O)N2C)C,Active,High,>1000,QC'ed NCATS
99367939,46907744,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)OC(F)(F)F,Active,High,103.99,QC'ed NCATS
29216955,17757088,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3NC(C)C4=CC=CC=C4,Active,High,>1000,QC'ed NCATS
170465125,208908,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,Inactive,Low,1,QC'ed NCATS
99367962,46907748,C1CN(CCC1C(=O)N)C2=NC=C(S2)C3=CC4=C(C=C3)OCO4,Active,High,691.51,QC'ed NCATS
161003999,70789547,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)Cl)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,Moderate,23.45,QC'ed NCATS
24387064,16010530,CN(C1=CC=C(C=C1)OC)C(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3,Active,High,821.73,QC'ed NCATS
104224415,3782995,COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C3COC4=CC=CC=C4O3,Active,High,>1000,QC'ed NCATS
162211022,71307815,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)C(F)(F)F,Active,High,>1000,QC'ed NCATS
24417337,16034817,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=C(C=C5)OC)OC,Active,High,402.82,QC'ed NCATS
174006699,766949,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC4=CC=CC=C43)C#N,Inconclusive,N/F,N/F,QC'ed NCATS
24391907,16014337,CCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)C,Active,Moderate,32.91,QC'ed NCATS
363681091,70980530,C[C@@H]1CN([C@H](CN1)CN2CCOC[C@H]2C)CC(=O)N3CC(C4=C3C=C(C=N4)CC5=CC=C(C=C5)F)(C)C,Active,High,>1000,QC'ed NCATS
24270655,15990040,COC1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)C(F)(F)F,Active,Moderate,82,QC'ed NCATS
17433275,5738266,C1=CC=C2C(=C1)NC(=N2)/C(=C/C3=CC=C(O3)SC4=CC=C(C=C4)Cl)/C#N,Inconclusive,N/F,N/F,QC'ed NCATS
